"","lhs","op","rhs","Unstand_Est","Unstand_SE","STD_Genotype","STD_Genotype_SE","STD_All","p_value"
"1","F1","~~","F1",1,"",1,"",1,NA
"2","F1","~~","F2",0.604481120368606,"0.0421381548819819",0.604407062650271,"0.0421437379610058",0.604407062650271,1.14137049210221e-46
"3","F1","~~","F3",0.394344490957214,"0.0405363282280764",0.39937813828167,"0.0405987384992494",0.39937813828167,2.28658594108478e-22
"4","F1","=~","ADHD",0.194449830339449,"0.0230606427366125",0.604475052495226,"0.0717485319943407",0.604475116665154,3.39493411301239e-17
"5","F1","=~","ANX",0.153948023389508,"0.0283781219448859",0.808294687362347,"0.149096292579738",0.808305656908586,5.79921468941196e-08
"6","F1","=~","ASD",0.108223951504254,"0.0156286248241972",0.372276306336266,"0.053788064827976",0.372276278046554,4.36818809888362e-12
"7","F1","=~","MDD",0.173311864916637,"0.0106752199525271",0.769879731837899,"0.0474016125082764",0.769879716988404,2.85392111405366e-59
"8","F1","=~","PTSD",0.542347475582017,"0.0404557033353679",0.933380731733556,"0.0696090273749822",0.933382203143543,5.57977886880844e-41
"9","F2","~~","F2",1,"",1,"",1,NA
"10","F2","~~","F3",0.277430835943448,"0.0396055347670188",0.280407310282059,"0.0398140230364297",0.280407310282059,2.47250330556423e-12
"11","F2","=~","SMK",0.174420815266179,"0.00938989064495388",0.790061299420312,"0.0425509913976815",0.790061358887421,5.08410455054261e-77
"12","F2","=~","ALC",0.0425316652515288,"0.011111765902107",0.273817110448172,"0.071530657495294",0.273817333408109,0.000129386044705792
"13","F2","=~","CAN",0.14574927261601,"0.00885825070449977",0.994310273296914,"0.060447886011033",0.976608607224574,7.91521105580548e-61
"14","F3","~~","F3",1,"",1,"",1,NA
"15","F3","=~","BIP",0.234215081972509,"0.0204634221371078",0.687682354877548,"0.0591970710728811",0.687682207844169,2.47535068436517e-30
"16","F3","=~","SCZ",0.349462245132638,"0.0272832188848571",0.973387166811712,"0.0747883845256598",0.975628675303357,1.46591703423741e-37
"17","ADHD","~~","ADHD",0.0656745354681698,"0.0123675239420397",0.634609698594711,"0.119540461514625",0.634609833332649,1.09480232283809e-07
"18","SMK","~~","SMK",0.0183530947171157,"0.0031657304834654",0.375802992620345,"0.0649448471273148",0.375803049192962,6.73396543283004e-09
"19","ALC","~~","ALC",0.0223316078298229,"0.00612275281175256",0.925022561495992,"0.253638406373166",0.925024067925272,0.000264995036179896
"20","ANX","~~","ANX",0.0125223956198499,"0.0276176788919231",0.34663255649133,"0.762440105208531",0.346641965009579,0.650246659338879
"21","ASD","~~","ASD",0.0727598202602349,"0.0109006501942994",0.861410503722987,"0.129045736349516",0.861410372803805,2.47544723324949e-11
"22","BIP","~~","BIP",0.0638022971806718,"0.0106292472263753",0.527093406410251,"0.090014649275216",0.527093181014569,1.94275155145179e-09
"23","CAN","~~","CAN",0.00100000004239715,"0.00303835070014275",0.0479269201687629,"0.141487939728961",0.0462356282948779,0.742060495185454
"24","MDD","~~","MDD",0.0206720787566791,"0.00316337722870319",0.407285237081349,"0.0623973980813627",0.407285221369855,6.36890511757795e-11
"25","PTSD","~~","PTSD",0.0432980770044227,"0.0758137915794051",0.128797256774701,"0.224735062654413",0.128797662854906,0.567924521641706
"26","SCZ","~~","SCZ",0.000999999987547214,"0.0190053832349908",0.0479276986993873,"0.145069300676543",0.0481486879258162,0.958037334225246
