"","lhs","op","rhs","Unstand_Est","Unstand_SE","STD_Genotype","STD_Genotype_SE","STD_All","p_value"
"1","F1","~~","F1",1,"",1,"",1,NA
"2","F1","~~","F2",0.559834196210814,"0.0307318067477849",0.559834073799588,"0.0307318336814016",0.559834073799588,3.799434951536e-74
"3","F1","~~","F3",0.420166226844838,"0.0299843049952255",0.420165981552543,"0.0299843631828259",0.420165981552543,1.30038015966377e-44
"4","F1","=~","ADHD",0.285281650912762,"0.0249482211295363",0.607945740872643,"0.0531656448038346",0.607945984039456,2.7969911705583e-30
"5","F1","=~","ANX",0.288849209135148,"0.0242607457586111",0.83905054910797,"0.07047273209839",0.8390508751456,1.10093116226734e-32
"6","F1","=~","ASD",0.152994322021479,"0.0141686835207518",0.371584034687246,"0.0344121773327793",0.371583804374706,3.51545489893131e-27
"7","F1","=~","MDD",0.244920585442853,"0.00887420269392027",0.796505171521735,"0.0288598116447829",0.796505379438358,1.13867749045149e-167
"8","F1","=~","PTSD",0.759655639612002,"0.0379091778389858",0.963064215555146,"0.0480599461089826",0.963062420963034,2.52627109131414e-89
"9","F2","~~","F2",1,"",1,"",1,NA
"10","F2","~~","F3",0.289129372811358,"0.0283472069817662",0.289129098408484,"0.0283472260299068",0.289129098408484,1.99148577155865e-24
"11","F2","=~","SMK",0.2577586112829,"0.00977054980624237",0.828063511848983,"0.0313884405857874",0.828063828328458,2.25325372170748e-153
"12","F2","=~","ALC",0.0489028717318917,"0.0114267161659245",0.214742944178497,"0.0501770255612745",0.214742825652265,1.87148744181327e-05
"13","F2","=~","CAN",0.209089948736955,"0.0088772743423148",0.920197456267842,"0.0390686250505567",0.92019766429139,1.15872292575378e-122
"14","F3","~~","F3",1,"",1,"",1,NA
"15","F3","=~","BIP",0.334408468655217,"0.0193393589258596",0.684112205934542,"0.0395633534667822",0.684112197857122,5.4420071272072e-67
"16","F3","=~","SCZ",0.480125308571084,"0.0270918255006594",0.969323796524073,"0.0546957398092543",0.969323915429555,2.82906844143135e-70
"17","LONE","~~","LONE",1,"",1,"",0.435470734068603,NA
"18","LONE","~","F1",1.26871870889803,"0.153471551980625",1.26872019340791,"0.153471916027739",0.837231074265611,1.37601892040563e-16
"19","LONE","~","F2",-0.0803385092048089,"0.085087046407496",-0.0803401283488863,"0.0850871734359628",-0.0530166165192811,0.345071538481245
"20","LONE","~","F3",-0.27676032984217,"0.0631648430170283",-0.276760233295958,"0.0631649481969489",-0.182634649184525,1.17834466187059e-05
"21","LONE","=~","LONELINESS",0.134976075985159,"0.00830833751555878",0.659902378642047,"0.0406197818533968",1,2.38972328665212e-59
"22","ADHD","~~","ADHD",0.138814142616039,"0.0177639784767255",0.630401176193071,"0.0806719940905746",0.630401680490298,5.52425089095388e-15
"23","SMK","~~","SMK",0.0304551504841539,"0.00464052208046908",0.314310055960224,"0.0478925586408839",0.314310296214019,5.27813019026517e-11
"24","ALC","~~","ALC",0.049468693368867,"0.00819295788292388",0.953886571815883,"0.157982017310381",0.953885518830881,1.56081657137623e-09
"25","ANX","~~","ANX",0.0350793790454084,"0.0409122275952059",0.295993398883574,"0.345212443237945",0.295993628917402,0.391207180961143
"26","ASD","~~","ASD",0.146118163490394,"0.0144456121904608",0.861926544792295,"0.0852120105351138",0.86192547632642,4.73750299004783e-24
"27","BIP","~~","BIP",0.127116799205149,"0.0146805005174679",0.531990513305689,"0.061438682384657",0.531990500743098,4.76391609372756e-18
"28","CAN","~~","CAN",0.00791144308146933,"0.00447032879660531",0.153236189350281,"0.0865836666802484",0.153236258632671,0.0767658627695735
"29","MDD","~~","MDD",0.0345661903535167,"0.0039427191733544",0.365578989667086,"0.0416987790225133",0.365579180525757,1.83336408923108e-18
"30","PTSD","~~","PTSD",0.0451117205568082,"0.106670003026768",0.0725110435654744,"0.171442892017966",0.0725107733288204,0.672361545005371
"31","SCZ","~~","SCZ",0.0148209494033778,"0.0258792864299552",0.0604111321552326,"0.105482835658671",0.0604111469763177,0.566850923565535
