"","lhs","op","rhs","Unstand_Est","Unstand_SE","STD_Genotype","STD_Genotype_SE","STD_All","p_value"
"1","F1","~~","F1",1,"",1,"",1,NA
"2","F1","~~","F2",0.542309520023672,"0.0265600450827015",0.542309742492848,"0.0265600371044067",0.542309742492848,1.15125194317352e-92
"3","F1","~~","F3",0.351842328696934,"0.0279044248647531",0.351842260832733,"0.0279044453602627",0.351842260832733,1.88759227506318e-36
"4","F1","=~","ADHD",0.295984155116591,"0.0254787182948254",0.630754109298256,"0.0542961188178046",0.630754251123628,3.38118624425635e-31
"5","F1","=~","ANX",0.297755966269929,"0.024570016610069",0.864922837556285,"0.0713710413711064",0.864923781085717,8.41112290224952e-34
"6","F1","=~","ASD",0.156438894945854,"0.0145420882542707",0.379949882444458,"0.0353190533691835",0.379950013267072,5.45352272145215e-27
"7","F1","=~","MDD",0.255412854635463,"0.00884882041502198",0.830628563348717,"0.0287772550135714",0.830628499551977,3.37569353867817e-183
"8","F1","=~","PTSD",0.776522295084307,"0.0381458584463293",0.984447561114664,"0.0483599561015834",0.984449529433733,4.05282482975307e-92
"9","F2","~~","F2",1,"",1,"",1,NA
"10","F2","~~","F3",0.287351853203799,"0.0285168091774683",0.28735123075886,"0.0285168110778172",0.28735123075886,7.01259284814787e-24
"11","F2","=~","SMK",0.257808609592604,"0.00977794934844064",0.828223126871002,"0.0314121491087086",0.828223198373878,3.33545119650322e-153
"12","F2","=~","ALC",0.0489073875934289,"0.0114129880174572",0.214762149185164,"0.0501167429232208",0.214762135569036,1.82542391747371e-05
"13","F2","=~","CAN",0.209048511057107,"0.00885665893013454",0.920016552339625,"0.0389778806787893",0.920016044633633,3.54458303969911e-123
"14","F3","~~","F3",1,"",1,"",1,NA
"15","F3","=~","BIP",0.330270595517814,"0.0202447853318155",0.675646770000221,"0.0414155830790557",0.675646483893573,7.86608803000687e-60
"16","F3","=~","SCZ",0.486140778464694,"0.0291237916814044",0.981469876089418,"0.0587981413716589",0.981469781554748,1.49310341042584e-62
"17","LONE","~~","LONE",1,"",1,"",0.563609427738449,NA
"18","LONE","~","F1",0.879929363489446,"0.0514547712720806",0.879930872429917,"0.0514549019273181",0.660598646881411,1.45815416325779e-65
"19","LONE","=~","LONELINESS",0.153556094817294,"0.00566947953220956",0.75073945859841,"0.0277182848124649",1,1.49162918861564e-161
"20","ADHD","~~","ADHD",0.132593424773095,"0.0181104115471506",0.60214880390253,"0.0822452857803549",0.602149074689471,2.4541153373639e-13
"21","SMK","~~","SMK",0.0304294186002938,"0.00464328773013915",0.314046279450312,"0.0479209467242949",0.314046333675344,5.62337465882812e-11
"22","ALC","~~","ALC",0.0494680973799306,"0.00819212632732351",0.953877346079314,"0.157965977039028",0.953877225125827,1.55560186834875e-09
"23","ANX","~~","ANX",0.0298553712033724,"0.0409939905308652",0.251906303311588,"0.345902358720483",0.251906852912386,0.46643820487339
"24","ASD","~~","ASD",0.145052548567767,"0.0144311820488743",0.855637398199905,"0.0851268819215764",0.855637987418352,9.0637358603169e-24
"25","BIP","~~","BIP",0.129866959269781,"0.0149557639061883",0.543502289100715,"0.0625906060341656",0.543501828802252,3.84092793943567e-18
"26","CAN","~~","CAN",0.00792888741482708,"0.00446241515226573",0.153570647110844,"0.0864304338176218",0.153570477616684,0.0755986374937419
"27","MDD","~~","MDD",0.0293165480454984,"0.00378046996585116",0.310056343360018,"0.0399828608116858",0.310056295732031,8.852716943796e-15
"28","PTSD","~~","PTSD",0.0192047145862836,"0.106358652212478",0.0308590005976896,"0.170942460219988",0.0308591239977008,0.856708553790522
"29","SCZ","~~","SCZ",0.00900852346778285,"0.0281515079829729",0.0367170749680138,"0.114744608949667",0.0367170678948749,0.748967228846121
